Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,yearID,teamID
CLE,75,87,35,471,163,1467.2,4.92,3.34,0.86,.285,70.0%,,,,4.26,,4.09,,13.4,1984,
MON,78,83,48,433,161,1431.0,5.42,2.98,0.72,.272,74.5%,,,,3.31,,3.64,,13.2,1984,
BAL,85,77,32,370,162,1439.1,4.46,3.20,0.86,.268,72.6%,,,,3.71,,4.13,,13.1,1984,
TEX,69,92,21,351,161,1438.2,5.40,3.24,0.93,.280,71.7%,,,,3.91,,4.06,,13.0,1984,
MIL,67,94,41,444,161,1433.0,4.93,3.01,0.86,.292,70.6%,,,,4.06,,3.97,,12.7,1984,
STL,84,78,51,474,162,1449.0,5.02,3.07,0.58,.287,71.7%,,,,3.58,,3.57,,12.1,1984,
MIN,81,81,38,411,162,1437.2,4.46,2.90,1.00,.270,73.5%,,,,3.86,,4.25,,10.8,1984,
CIN,70,92,25,489,162,1461.1,5.83,3.56,0.79,.285,69.5%,,,,4.16,,3.83,,10.1,1984,
SDP,92,70,44,447,162,1460.1,5.00,3.47,0.75,.260,73.4%,,,,3.48,,3.94,,7.7,1984,
SFG,66,96,38,521,162,1461.0,5.26,3.38,0.77,.301,68.4%,,,,4.39,,3.91,,6.3,1984,
OAK,77,85,44,444,162,1430.0,4.37,3.73,0.98,.289,70.5%,,,,4.48,,4.52,,5.3,1984,
KCR,91,71,41,378,162,1461.0,5.21,2.85,0.63,.281,72.2%,,,,3.49,,3.45,,24.8,1985,
LAD,95,67,36,412,162,1465.0,6.01,2.84,0.63,.263,73.1%,,,,3.00,,3.24,,20.7,1985,
NYM,98,64,37,405,162,1488.0,6.28,3.11,0.67,.268,75.5%,,,,3.11,,3.33,,20.1,1985,
DET,84,77,40,411,161,1456.0,5.83,3.44,0.87,.262,71.0%,,,,3.80,,3.84,,19.0,1985,
BOS,81,81,29,365,163,1461.1,5.62,3.33,0.80,.291,71.4%,,,,4.06,,3.77,,18.6,1985,
NYY,97,64,49,431,161,1440.1,5.67,3.24,0.98,.272,73.9%,,,,3.69,,3.95,,17.5,1985,
MON,84,77,53,484,161,1457.0,5.37,3.14,0.61,.270,71.4%,,,,3.55,,3.46,,17.2,1985,
CHW,85,77,39,468,163,1451.2,6.34,3.53,1.00,.282,72.4%,,,,4.07,,3.97,,17.2,1985,
STL,101,61,44,457,162,1464.0,4.91,2.78,0.60,.267,74.2%,,,,3.11,,3.45,,17.2,1985,
TOR,99,62,47,477,161,1448.0,5.12,3.01,0.91,.258,76.4%,,,,3.31,,3.92,,17.0,1985,
PIT,57,104,29,458,161,1445.1,5.99,3.64,0.67,.287,70.2%,,,,3.97,,3.59,,15.6,1985,
CIN,89,72,45,449,162,1451.1,5.64,3.32,0.81,.270,71.8%,,,,3.71,,3.74,,14.5,1985,
SFG,62,100,24,483,162,1448.0,6.12,3.56,0.78,.274,71.7%,,,,3.62,,3.67,,14.2,1985,
SDP,83,79,44,445,162,1451.1,4.51,2.75,0.79,.269,73.7%,,,,3.40,,3.79,,14.1,1985,
CAL,90,72,41,411,162,1457.1,4.74,3.17,1.06,.274,73.6%,,,,3.91,,4.27,,13.7,1985,
SEA,74,88,30,497,162,1432.0,5.46,4.00,0.97,.286,68.6%,,,,4.68,,4.29,,13.6,1985,
MIN,77,85,34,399,162,1426.1,4.84,2.92,1.03,.281,68.1%,,,,4.49,,4.14,,13.4,1985,
CHC,77,84,42,475,162,1442.1,5.12,3.24,0.97,.286,71.9%,,,,4.17,,4.08,,12.0,1985,
PHI,75,87,30,477,162,1447.0,5.59,3.71,0.72,.284,72.8%,,,,3.68,,3.76,,11.6,1985,
TEX,62,99,33,425,161,1411.2,5.50,3.19,1.10,.288,69.4%,,,,4.56,,4.20,,10.9,1985,
